5.258377229734136071e-02,5.057095949085834569e-02,4.985995167165348935e-02,4.993441880215306744e-02,4.920526134751730674e-02,5.176185415057338313e-02,5.478624323384379685e-02,5.416005264682472592e-02,5.318845834340470841e-02,5.116462818855371797e-02,4.962218763876705130e-02,4.701416775893312722e-02,4.633819519780005280e-02,4.419909330612115800e-02,4.374265432905660722e-02,4.336717329724576464e-02,4.137351476404930312e-02,4.020958854293615187e-02,3.787738048906214711e-02,3.714735574321619688e-02,3.685695818779159694e-02,3.586528244529579856e-02,3.604434322124047685e-02,3.800285105395715540e-02,3.654744758724715048e-02,3.775882083111713194e-02,3.774018207752947301e-02,3.923924910887313655e-02,3.771905903950950600e-02,3.864236910115505935e-02,4.000188018526281558e-02,4.027369748713813952e-02,4.138780765753553165e-02,4.221519131702539118e-02,4.427908404685937382e-02,4.480237564156313440e-02
6.280339760188453913e-02,6.507330561543110681e-02,6.951423412617710462e-02,7.062917076789596016e-02,6.724545186405672670e-02,6.502006697382027578e-02,6.288169563742178336e-02,6.484726758442456440e-02,6.501186420471272154e-02,6.650337072417396300e-02,6.563557477349614422e-02,6.307248903933987405e-02,6.240315476903922354e-02,5.913714315688137907e-02,5.354371982171288180e-02,4.909094664843803579e-02,4.770302067100795629e-02,4.589303167534090899e-02,4.516015512198566506e-02,4.422914849118964042e-02,4.322183335900380008e-02,4.256334172268452093e-02,4.266472391480220783e-02,4.191562209693913688e-02,4.297322857036842830e-02,4.209402633833988355e-02,4.206246017102963780e-02,4.112915870612075114e-02,4.040182406982981839e-02,3.780882308229505800e-02,3.757530410213560240e-02,3.820569086877023679e-02,3.896074897561328104e-02,4.141868080194727186e-02,4.127966884741696846e-02,4.221070344260847290e-02
6.111863775358972184e-02,5.827712034697863502e-02,5.955582279092605513e-02,5.703849284570040867e-02,5.827973999372632746e-02,6.115814634708588438e-02,6.128337456542284900e-02,6.243448102015806966e-02,6.313985681218206580e-02,6.168573173731185105e-02,5.743081241099857320e-02,5.531540871089456191e-02,5.308925455110697494e-02,5.140219879733731040e-02,4.816582249100648250e-02,4.667764824524444495e-02,4.230433918708335211e-02,4.282669089400143597e-02,4.359244835155792752e-02,4.197359183357636525e-02,4.124480002810865242e-02,4.019605062818883828e-02,3.929497771182801497e-02,3.807358951480258047e-02,3.867083593238166556e-02,3.815555718225675796e-02,3.684813093258464817e-02,3.738825827127902762e-02,3.728204981158026593e-02,3.547717998860412669e-02,3.256637749710002833e-02,3.414071801334722656e-02,3.477272250691225419e-02,3.412305789129217726e-02,3.738331167831992347e-02,3.550287647530419449e-02
5.336568433467438199e-02,5.741209063726465667e-02,5.810838951795960217e-02,5.461817312048111023e-02,5.527623277048838990e-02,5.317400027611502572e-02,5.544768271290193701e-02,5.451830457379020639e-02,5.480716003473647124e-02,5.009208443363166036e-02,5.157967389288262844e-02,5.132134027512864904e-02,4.615962613859869723e-02,4.496803133023691279e-02,4.412709075762344391e-02,4.125219343419129353e-02,3.737669594614610735e-02,3.656268174519914510e-02,3.487486909530277540e-02,3.549526025730934814e-02,3.868195192729455972e-02,3.895573552493290098e-02,4.051749666650234644e-02,4.140640494922115389e-02,3.986307571781404213e-02,4.149553810804829101e-02,4.206575429742340916e-02,4.502075863586371685e-02,4.418259591704773448e-02,4.191678811048992620e-02,4.129412645740879184e-02,4.073213487200642163e-02,4.021940817939325535e-02,3.972297332907407524e-02,3.963687225858697483e-02,4.008653927326712163e-02
6.301774494702128138e-02,6.250720473095883190e-02,6.042417289363867516e-02,5.905794178137181716e-02,6.001242594272456626e-02,6.086353967937866566e-02,5.701244421273069657e-02,5.552999268897935992e-02,5.414302436318526451e-02,5.495402503513930476e-02,5.459581763297423340e-02,5.078734226545970204e-02,4.814072789521916390e-02,4.851694690526672793e-02,5.158197573300955102e-02,5.141796380269345046e-02,4.622442191441544779e-02,4.461265455191577162e-02,4.213703690697203491e-02,4.006902551822782294e-02,4.039369144974728348e-02,4.028519323575427413e-02,4.038457935387707032e-02,3.871448276353303686e-02,3.862215908869808673e-02,3.801108362581581690e-02,3.771308246788782764e-02,3.683737978972013993e-02,3.623577824772453160e-02,3.787570361660932972e-02,3.832343790584345072e-02,3.839815048705639416e-02,3.790646219768613323e-02,3.765859584068748794e-02,3.797751492612533308e-02,3.757002951591041640e-02
5.802264756439250853e-02,5.657905587025205407e-02,5.268364610396476799e-02,4.954912638422551141e-02,4.764512578774866836e-02,4.870279035837390275e-02,4.947108614195353665e-02,5.274703321426758851e-02,4.905157731655752917e-02,4.808938670118190206e-02,4.711166080873098461e-02,4.324363998090613448e-02,3.974488789196624350e-02,3.826623377876890719e-02,3.618255301474320590e-02,3.517503868921169341e-02,3.319035108737819484e-02,3.281251844945851093e-02,3.222548505229323040e-02,3.023197402100421746e-02,3.026844175092708450e-02,3.062312109568176080e-02,3.042096330126858525e-02,3.244124367588051977e-02,3.293614995940850887e-02,3.412702462831924966e-02,3.369038712410982184e-02,3.433205200128089385e-02,3.463382643412381973e-02,3.139975887434762192e-02,3.146589841846393620e-02,3.154542866168049547e-02,3.159695570037437951e-02,3.339936990462696181e-02,3.234877380239936651e-02,3.483820690717572000e-02
5.815946410175250325e-02,5.831019169854920886e-02,5.801708692567607989e-02,5.582930588800549820e-02,5.136502391102200360e-02,5.198451188286158653e-02,5.140890706774842167e-02,5.311050228666867878e-02,5.021458237148578030e-02,4.970956444667867791e-02,5.007969116816317345e-02,5.239917636281320873e-02,5.190539075876537262e-02,5.428554061158025190e-02,5.595677799693148796e-02,5.598083977503909986e-02,5.379260704700127710e-02,5.361252726995530127e-02,5.170758576204822349e-02,4.809091951664820619e-02,4.617702433173834220e-02,4.385437974189845822e-02,4.063817851280144416e-02,3.902173567353754008e-02,3.703111861326525284e-02,3.653158451146009539e-02,3.697839571899490252e-02,3.538212203485090884e-02,3.606428749447722348e-02,3.537124253432107762e-02,3.526531663075222617e-02,3.554633721196236162e-02,3.671571459993312053e-02,3.596108780075783079e-02,3.312804615261392971e-02,3.523345903501507587e-02
6.428177869540621647e-02,6.060458366602493319e-02,6.345942769580732723e-02,6.599521265101843115e-02,6.777304239461104385e-02,6.935497810434565480e-02,6.889203989686620844e-02,6.631674630690122252e-02,6.380789656449598057e-02,6.091437299764777130e-02,6.144800055170635683e-02,5.904035457457754849e-02,6.003228101995494032e-02,5.448558550934183564e-02,5.029776705571267076e-02,5.025316787612998243e-02,5.034364452550375846e-02,5.199681760058461749e-02,4.915899757042064416e-02,4.952214440198163953e-02,4.777689933762503671e-02,4.619247672806066352e-02,4.587036553035953729e-02,4.436636931746854723e-02,4.339617699339042012e-02,4.092138377529804666e-02,3.889821133901470718e-02,3.752318581832540800e-02,3.714935826914975148e-02,3.778134281105858389e-02,3.660520174952866523e-02,3.586580234381422233e-02,3.488170998809097395e-02,3.406416961134391130e-02,3.599312968157528797e-02,3.451862885282640930e-02
5.646228169305057137e-02,5.065826431840105698e-02,5.186181214204699241e-02,5.304512668913968776e-02,5.132263447111611032e-02,5.367356454351803613e-02,5.162911951496885338e-02,5.347117519203520991e-02,5.360263146734268319e-02,5.064875094543590250e-02,4.788807967618897293e-02,4.584655467379301214e-02,4.525369977844642677e-02,4.459147189704544545e-02,4.381620741480780901e-02,4.510164644369198811e-02,4.643606527456695110e-02,4.493314048494878588e-02,4.363151610722392632e-02,4.218740969321105316e-02,4.084213498477788640e-02,4.172481600129689105e-02,4.086201537670514083e-02,4.069271240779218091e-02,3.925682251931874450e-02,4.095225849763439729e-02,4.145522497286788927e-02,4.224214873661587960e-02,4.000260544568522841e-02,3.865728308684601711e-02,4.054497556051563784e-02,4.138316455589500370e-02,4.229124226148588128e-02,4.428431589486802461e-02,4.509193972727749272e-02,4.807155937578103805e-02
5.414764215475527387e-02,5.571953791566913727e-02,5.378814097774860248e-02,5.090541439465729595e-02,5.005838147744771927e-02,4.886492599514558055e-02,4.964325517135220744e-02,4.918879432484173087e-02,4.817740627043717166e-02,4.684884026256855294e-02,4.579536148591217826e-02,4.456020910870672064e-02,4.245471550325869564e-02,4.154137665211004443e-02,4.024945084742306139e-02,3.872780352031933437e-02,3.838258420264296922e-02,4.073698538945101644e-02,3.727008815869334996e-02,3.670966006592588787e-02,3.622806653828974238e-02,3.296410755196432091e-02,3.245824140064831193e-02,3.013556936854099380e-02,3.192637742099581344e-02,3.362812253985578842e-02,3.415415084653915939e-02,3.323763500397865223e-02,3.429395589187970994e-02,3.619111559680130569e-02,3.633317027446722469e-02,3.659986243249958859e-02,3.828748158476270869e-02,4.004352938417643504e-02,4.063088274110517040e-02,3.917614754910993258e-02
6.069442503671126227e-02,6.195847855898083123e-02,6.497039971955385906e-02,6.588297324423594836e-02,6.733242700268547709e-02,6.694566862531309281e-02,6.689833059871919119e-02,6.698964105997563812e-02,6.407074236393583977e-02,5.977838629512129826e-02,5.799618936387866686e-02,5.457957685852260488e-02,5.036005911031093962e-02,4.947418355465448697e-02,4.601617299333270877e-02,4.536185856312767439e-02,4.672987468709304676e-02,4.709167669037848947e-02,4.859589875062030051e-02,4.769183103526833389e-02,4.815830715091284908e-02,4.681653237927242001e-02,4.619302568118992258e-02,4.736994748562822766e-02,4.543198091261637511e-02,4.447566740627306725e-02,4.208784553615646518e-02,4.171133891190191567e-02,4.056355543164056471e-02,3.973372585012100583e-02,3.928714400688174124e-02,3.994575887010920479e-02,3.842582032194957753e-02,3.937036917162196198e-02,3.729080099215737604e-02,3.748720433669053276e-02
6.110103075326160649e-02,6.721997528103708375e-02,6.593989760721644111e-02,6.595917825065798767e-02,6.433818480537931150e-02,6.181721973422023286e-02,6.049760602983109137e-02,5.779209785777551095e-02,5.458494305491971843e-02,5.194925241085890377e-02,5.093145427549031906e-02,4.822493009948726483e-02,4.793122956256944817e-02,4.499411439009221719e-02,4.411393870774676235e-02,3.950296269880763239e-02,3.625821802767209556e-02,3.440737269264416975e-02,3.264785307252857094e-02,3.117023616487214419e-02,3.184489437564701902e-02,3.436857277565053687e-02,3.382951384996144700e-02,3.361237714995229248e-02,3.167003909421784585e-02,3.242562265127556242e-02,3.225177361997974557e-02,3.143243857594005264e-02,3.041321037527625407e-02,2.739518725432235277e-02,2.618656627260460001e-02,2.747821209680801485e-02,2.821025559716855077e-02,2.864577687583428137e-02,3.045707206432880093e-02,3.020539765502764165e-02
