0.0,0.0,0.0,0.0008,0.0034,0.0106,0.023,0.056,0.11,0.1834,0.2746,0.3462,0.3962,0.403,0.3852,0.3546,0.3194,0.2748,0.2368,0.1976,0.1692,0.138,0.1124,0.0962,0.081,0.0706,0.0624,0.054,0.0452,0.0376,0.0332,0.0288,0.0264,0.0224,0.0198,0.0166,0.0144,0.0136,0.0128,0.0128,0.012,0.0106,0.01,0.0094,0.0088,0.0074,0.0076,0.0058,0.0066,0.0064,0.0064
0.0,0.0,0.0,0.0004,0.0008,0.0036,0.0154,0.0418,0.0902,0.1584,0.227,0.2988,0.3642,0.3882,0.393,0.3796,0.3416,0.3008,0.2594,0.2166,0.1852,0.1548,0.129,0.1042,0.0902,0.0816,0.0678,0.0582,0.0492,0.0434,0.0372,0.0366,0.0346,0.0344,0.0286,0.0252,0.022,0.0194,0.0162,0.014,0.014,0.0118,0.011,0.0096,0.0094,0.0086,0.0068,0.0058,0.0046,0.0044,0.0036
0.0,0.0,0.0,0.0,0.0008,0.0042,0.016,0.0378,0.0826,0.1472,0.2238,0.301,0.362,0.3906,0.3952,0.3698,0.3322,0.3016,0.262,0.2248,0.1892,0.1608,0.1418,0.1266,0.1076,0.086,0.0728,0.0646,0.0522,0.045,0.0368,0.0302,0.0256,0.0208,0.0172,0.0152,0.0138,0.0118,0.011,0.0118,0.0114,0.0122,0.012,0.0116,0.0116,0.0118,0.0096,0.0094,0.0066,0.0062,0.006
0.0,0.0,0.0,0.0012,0.0032,0.0122,0.0336,0.076,0.1382,0.2258,0.306,0.3818,0.43,0.4382,0.4148,0.3688,0.311,0.259,0.215,0.1814,0.1492,0.1198,0.1016,0.0856,0.0668,0.0556,0.0474,0.0348,0.0272,0.0232,0.0194,0.0156,0.0126,0.011,0.0088,0.0084,0.0082,0.0092,0.0102,0.0106,0.01,0.0098,0.0096,0.0078,0.008,0.008,0.0062,0.0046,0.0044,0.0034,0.0036
0.0,0.0,0.0,0.0008,0.0036,0.0092,0.0254,0.0614,0.1128,0.1852,0.2666,0.3284,0.3786,0.3954,0.3804,0.3586,0.3196,0.2818,0.2462,0.2066,0.17,0.144,0.1198,0.0976,0.0814,0.0644,0.0542,0.045,0.038,0.0368,0.0292,0.0252,0.0228,0.0194,0.0162,0.0142,0.0134,0.0128,0.0128,0.0128,0.015,0.0136,0.0132,0.014,0.0142,0.012,0.0136,0.0102,0.0104,0.0104,0.0106
0.0,0.0,0.0,0.001,0.0042,0.0112,0.0278,0.0662,0.1212,0.1938,0.282,0.3524,0.4044,0.42,0.41,0.3754,0.3244,0.2762,0.2338,0.1942,0.1594,0.1326,0.1118,0.097,0.0846,0.072,0.0614,0.0546,0.0462,0.0406,0.0344,0.0286,0.0258,0.0216,0.0184,0.0146,0.0126,0.0114,0.0084,0.0066,0.0054,0.0066,0.0056,0.0066,0.0066,0.006,0.0064,0.006,0.0054,0.005,0.005
0.0,0.0,0.0,0.0002,0.0026,0.0102,0.0254,0.0572,0.1044,0.175,0.255,0.3298,0.3844,0.405,0.3962,0.3706,0.337,0.291,0.2526,0.2128,0.1724,0.142,0.1166,0.0992,0.0866,0.0716,0.0632,0.0542,0.0452,0.0388,0.0332,0.026,0.023,0.0216,0.0182,0.0162,0.0138,0.0124,0.0094,0.0078,0.0074,0.0072,0.007,0.007,0.0052,0.0046,0.0042,0.004,0.004,0.004,0.0048
0.0,0.0,0.0002,0.0006,0.0022,0.0096,0.0228,0.0578,0.1156,0.1914,0.2758,0.3472,0.395,0.4162,0.4016,0.3772,0.3348,0.2942,0.2526,0.2114,0.1778,0.156,0.1312,0.1098,0.0854,0.0712,0.0546,0.0452,0.0382,0.0318,0.0302,0.025,0.0234,0.0186,0.0138,0.0122,0.0112,0.0088,0.0082,0.0072,0.0058,0.0044,0.0048,0.005,0.0044,0.0036,0.0044,0.0034,0.0028,0.0032,0.0026
0.0,0.0,0.0,0.0014,0.0042,0.0112,0.0302,0.0688,0.1258,0.2044,0.2816,0.3428,0.3804,0.3986,0.3828,0.3596,0.3206,0.285,0.246,0.2128,0.1794,0.1452,0.1186,0.0938,0.0782,0.0662,0.0548,0.0468,0.0384,0.033,0.0292,0.0278,0.0244,0.0214,0.018,0.0154,0.015,0.0124,0.0118,0.0122,0.0102,0.0096,0.0086,0.0094,0.008,0.0074,0.0076,0.008,0.0074,0.0076,0.007
0.0,0.0002,0.0008,0.003,0.009,0.0176,0.0418,0.0804,0.152,0.2396,0.3216,0.3868,0.4358,0.4418,0.4152,0.3666,0.3122,0.265,0.2176,0.1796,0.15,0.1276,0.1128,0.0958,0.0778,0.0686,0.0572,0.0484,0.0402,0.032,0.027,0.0234,0.0204,0.0172,0.0142,0.0108,0.0114,0.01,0.0074,0.0066,0.0066,0.006,0.0062,0.006,0.0054,0.0046,0.005,0.0044,0.0044,0.0036,0.0034
0.0,0.0,0.0,0.001,0.0032,0.0072,0.0218,0.054,0.1122,0.1916,0.2768,0.347,0.3938,0.4036,0.3888,0.3594,0.3224,0.2766,0.2474,0.2122,0.176,0.142,0.1186,0.092,0.073,0.064,0.0538,0.0496,0.0428,0.038,0.0358,0.028,0.0248,0.0212,0.0184,0.0144,0.0144,0.0118,0.0104,0.01,0.0096,0.0096,0.0088,0.008,0.0074,0.0082,0.0076,0.007,0.005,0.0052,0.0058
0.0,0.0006,0.0016,0.003,0.008,0.0158,0.0362,0.072,0.1368,0.2246,0.3074,0.3802,0.415,0.415,0.3976,0.3638,0.3152,0.2648,0.223,0.1764,0.1482,0.1224,0.1018,0.0874,0.0736,0.0646,0.0578,0.0436,0.039,0.0324,0.027,0.0232,0.0184,0.0172,0.016,0.0154,0.0138,0.0134,0.012,0.0122,0.0094,0.0076,0.0064,0.005,0.0042,0.0038,0.004,0.005,0.0052,0.0046,0.0046
0.0,0.0,0.0002,0.0014,0.0032,0.0104,0.0292,0.0626,0.114,0.1898,0.2708,0.338,0.3834,0.3918,0.3726,0.3556,0.3142,0.2708,0.2368,0.1946,0.163,0.1358,0.115,0.096,0.0806,0.0646,0.0518,0.0456,0.0378,0.032,0.0282,0.0236,0.0198,0.0188,0.0166,0.0136,0.0118,0.0106,0.009,0.0094,0.0088,0.0096,0.009,0.0086,0.0078,0.0056,0.0046,0.004,0.0046,0.005,0.0048
0.0002,0.0004,0.0012,0.0026,0.0094,0.022,0.0488,0.0946,0.1608,0.2414,0.3204,0.3758,0.4106,0.404,0.3828,0.3418,0.3074,0.266,0.2204,0.1856,0.152,0.1272,0.1016,0.0814,0.0672,0.0552,0.047,0.0428,0.0324,0.0286,0.0228,0.0198,0.0174,0.013,0.0126,0.0114,0.0104,0.011,0.0104,0.0104,0.0112,0.0114,0.0104,0.0104,0.0094,0.0102,0.0078,0.0084,0.0086,0.0064,0.0066
0.0,0.0,0.0,0.001,0.0024,0.0104,0.0258,0.0618,0.1248,0.2058,0.3008,0.3732,0.4168,0.4258,0.4106,0.3574,0.3118,0.2618,0.2192,0.1806,0.148,0.1172,0.0948,0.0774,0.0654,0.0546,0.0518,0.0402,0.0352,0.0326,0.0278,0.0222,0.0182,0.0164,0.0144,0.0124,0.012,0.0102,0.008,0.0068,0.0058,0.0044,0.0038,0.0032,0.0032,0.0032,0.0026,0.0024,0.0028,0.0026,0.0018
0.0,0.0,0.0004,0.0006,0.004,0.0118,0.0258,0.0628,0.111,0.184,0.2618,0.3318,0.376,0.392,0.3904,0.3676,0.3302,0.2904,0.2458,0.2086,0.1748,0.1498,0.1262,0.0994,0.087,0.0756,0.0626,0.0534,0.046,0.0372,0.0302,0.023,0.02,0.0176,0.0164,0.0148,0.0118,0.0098,0.008,0.007,0.0066,0.0058,0.005,0.0048,0.0028,0.0026,0.0024,0.0024,0.0018,0.0014,0.002
0.0,0.0,0.0,0.0,0.0018,0.0062,0.0196,0.049,0.1068,0.175,0.257,0.3314,0.3834,0.4138,0.4082,0.3768,0.3356,0.2934,0.2498,0.2034,0.172,0.1466,0.1172,0.1014,0.0874,0.0726,0.0634,0.052,0.0434,0.0402,0.0386,0.0354,0.0302,0.0238,0.02,0.019,0.0146,0.0134,0.014,0.0118,0.0106,0.0104,0.01,0.0102,0.0102,0.0104,0.01,0.0072,0.0066,0.005,0.0042
0.0,0.0,0.0002,0.0018,0.0064,0.0148,0.0386,0.0814,0.1492,0.2296,0.3138,0.3848,0.4146,0.4218,0.3932,0.353,0.2954,0.2542,0.2216,0.1812,0.1494,0.1252,0.0998,0.0812,0.066,0.0544,0.0462,0.0376,0.0314,0.0276,0.024,0.021,0.0182,0.019,0.018,0.0152,0.0116,0.0104,0.0088,0.0076,0.0068,0.0068,0.0058,0.005,0.0046,0.0032,0.0038,0.0042,0.0034,0.0032,0.0022
0.0,0.0,0.0,0.0006,0.0016,0.005,0.0162,0.0502,0.0988,0.1732,0.2598,0.3304,0.3802,0.4094,0.402,0.3758,0.3456,0.2978,0.261,0.2164,0.18,0.1456,0.1168,0.0942,0.081,0.0712,0.06,0.048,0.0406,0.0346,0.0316,0.028,0.027,0.0256,0.0222,0.0198,0.018,0.015,0.014,0.011,0.0108,0.0094,0.0084,0.0076,0.0074,0.0048,0.0054,0.0064,0.0068,0.008,0.0086
0.0,0.0,0.0,0.001,0.004,0.0136,0.031,0.0684,0.1272,0.2114,0.2938,0.3666,0.4026,0.4108,0.3916,0.381,0.3356,0.289,0.2416,0.1906,0.1578,0.1312,0.1086,0.092,0.0768,0.0684,0.057,0.0484,0.04,0.0354,0.0286,0.0252,0.0226,0.0198,0.0152,0.012,0.0092,0.0076,0.0068,0.0052,0.0046,0.004,0.0036,0.0032,0.0026,0.0014,0.0008,0.001,0.0008,0.0012,0.0014
0.0,0.0004,0.0012,0.0032,0.0094,0.0198,0.0416,0.0808,0.1424,0.219,0.3056,0.372,0.42,0.4298,0.4072,0.3646,0.3144,0.2652,0.217,0.1782,0.143,0.1214,0.099,0.078,0.0632,0.0532,0.0432,0.035,0.029,0.0234,0.0216,0.0206,0.0184,0.0178,0.0162,0.0164,0.014,0.0124,0.0112,0.0102,0.0074,0.0066,0.0064,0.0058,0.0052,0.0052,0.0048,0.004,0.004,0.0042,0.004
0.0,0.0,0.0,0.0012,0.0034,0.0116,0.0358,0.0848,0.1574,0.2468,0.3342,0.3942,0.4304,0.4192,0.3908,0.3502,0.3076,0.257,0.2044,0.1682,0.1376,0.1146,0.1022,0.0868,0.078,0.0684,0.059,0.0494,0.0426,0.035,0.0278,0.024,0.02,0.0162,0.0138,0.0138,0.013,0.0132,0.011,0.0114,0.009,0.0078,0.0076,0.0068,0.0062,0.0074,0.0062,0.0056,0.0052,0.005,0.0046
0.0,0.0,0.0,0.0006,0.0018,0.0066,0.021,0.0502,0.0946,0.1628,0.2292,0.3002,0.3474,0.3764,0.3812,0.3718,0.3434,0.3112,0.2726,0.2316,0.1974,0.1642,0.1362,0.1102,0.0896,0.0748,0.0636,0.053,0.0472,0.039,0.0326,0.028,0.0208,0.0178,0.0154,0.0152,0.0134,0.0126,0.0106,0.01,0.01,0.009,0.0082,0.0082,0.0074,0.0078,0.0082,0.008,0.006,0.006,0.0052
