param,ages,vals
exposure_age,"0;5;10;12.5;15;18;20;25;30;35;40;45;50","1;1;1;1;0.4;1;1;0.8;0.8;0.5;0.3;0.5;0.5"
exposure_parity,"0;1;2;3;4;5;6;7;8;9;10;11;12;20","1;1;1;1;1;1;1;0.8;0.5;0.3;0.15;0.1;0.05;0.01"
